,text
118,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
119,"US Army extending deployment for over 4,000 troops in Europe 

https://t.co/NWCwwkLTTm #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
120,"RT @efobherry: WTF 🤬🤬
So many wars in Africa right now but I'd never seen anyone talk about it on Twitter but Russia invading Ukraine, Blac…"
121,RT @kevinnadal: The worst kind of #Karen is the one who doesn’t think they’re a Karen. They proudly write #BlackLivesMatter on their social…
122,Big Education Ape: THIS WEEK WITH NEWBLACKMAN (IN EXILE) #BLM #BLACKLIVESMATTER - https://t.co/xyWbnVUthC https://t.co/583Gv72J81
123,"Growing up, I NEVER heard of #TulsaRaceMassacre - was never taught about in school.

It wasn’t until YEARS later that I leaned of this atrocity.

The evil that humans do 🤬😥

#BlackHistoryMonth  .@TheEqualizerCBS .@IAMQUEENLATIFAH .@jadapsmith #TheEqualizer #BlackLivesMatter https://t.co/ez36lIibXF"
124,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
125,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
126,"Ukraine's Air Force claims successful drone strikes against Russia 

https://t.co/a0lxOnlx5g #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
127,"Russian rouble plunges to record low amid outrage over Ukraine 

https://t.co/JOUFbd81jC #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
128,@realginnyrobins Where are the #BlackLivesMatter people?
129,RT @KedibonyeMandu: The whole world should protest against Russia's Invasion Of 🇺🇦 Ukraine the same way we all protested for Black Lives Ma…
130,"RT @GandhiOttawa: As police in D.C. pepper-sprayed protesters, Rahul Dubey opened his home to 70 strangers https://t.co/TTjmoz0zPu via @nbc…"
131,"RT @GandhiOttawa: Calls are being made to remove certain Gandhi statues, in the context of Black Lives Matter protests. But Gandhi had evol…"
132,"RT @hover_focus: At this Point, Respect this guy. 
Since, Ukrainians are showing #racism in time of war. #BlackLivesMatter https://t.co/Die…"
133,"Ghee whizz.. My device is under attack again...

#HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow"
134,"RT @Queen_minnna: Funny how you all were tweeting #blacklivesmatter we knew it was fake love though

#racism #Poland #Ukraine https://t.co/…"
135,RT @MichaelIHWagner: I think social media combined with messaging is totally stupid. I don't like it anymore.    #FridaysForFuture #Berlin👑…
136,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
137,RT @Official__Moh: Stop Racism in Ukraine #BlackLivesMatter #UkraineRussiaWar #UkraineRussia https://t.co/hz0TWXwdvD
138,"RT @efobherry: WTF 🤬🤬
So many wars in Africa right now but I'd never seen anyone talk about it on Twitter but Russia invading Ukraine, Blac…"
139,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
140,"How do you get to choose whose life is worth better than others ??
Why wouldn't Ukrainians give same choices that was given to there citizens to blacks people? Preventing them from running to safety. 
#BlackLivesMatter
#PrayForUkraine"
141,RT @allimadi: @TonnyNsubuga3 @Louise94622028 @chidi_blyden @epsteinova @HEBobiwine @AsstSecStateAF Nice sounding BS. 150 people were massac…
142,"RT @zodiac_dka: Ignorance of our history as Africans, has lead to the brainwashing of the westerners, Russia stood behind Africa during the…"
143,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
144,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
145,"In this country we are not all treated equally. We must always keep this in mind because if we fail to do so, abuses will be perpetuated and we must actively strive to eliminate them and fight against those who want to hide the existence of systemic racism. #BlackLivesMatter https://t.co/Iqs7VcEfh0"
146,RT @TracyMorison: #BlackLivesMatter Ukrainians hold back Black Africans from boarding trains to flee the country. Poland (of all countries)…
147,RT @Nadine_Writes: Black people stuck in Ukraine are reportedly being subjected to racism even as they attempt to flee to safety. Even duri…
148,RT @EverybodylsDumb: @blaccpryde @Eternal_EB @VicKhiz @choeshow @KatieDaviscourt @komonews Have you seen Twitter ever? It's a 24/7 non-stop…
149,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
150,"RT @BigSmallKe: If putin was an African leader, Nato  would have murdered him like Muammar Gaddafi 

#BlackLivesMatter
#RacistEU https://t.…"
